Person_id,Player,Team,Season_Type,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,CareerHighPTS,eFG%,TS%
1600003,Steez,76ers GC,Regular,16,384,80,115,0.696,4,9,0.444,17,27,0.63,76,80,156,33,30,29,33,10,181,34,0.713,0.713
1600022,Newdini33,76ers GC,Regular,16,384,46,74,0.622,18,36,0.5,2,2,1,11,8,19,14,32,33,9,4,112,31,0.743,0.748
1600025,ZDS,76ers GC,Regular,16,384,107,199,0.538,60,127,0.472,6,9,0.667,3,7,10,32,17,22,19,1,280,52,0.688,0.69
1600097,Radiant,76ers GC,Regular,16,384,123,230,0.535,56,111,0.505,18,20,0.9,1,8,9,177,17,21,68,1,320,34,0.657,0.67
1600207,oCASSIUS,76ers GC,Regular,1,24,13,24,0.542,10,20,0.5,0,0,0,3,7,10,4,0,2,3,0,36,36,0.75,0.75
1600222,BreadwinnerLA,76ers GC,Regular,15,360,52,84,0.619,17,38,0.447,8,9,0.889,31,56,87,29,31,45,17,17,129,21,0.72,0.733
1600011,OneWildWalnut,Blazer5 Gaming,Regular,16,390,124,172,0.721,0,1,0,7,12,0.583,94,108,202,27,26,35,43,7,255,31,0.721,0.719
1600021,Mama Im Dat Man,Blazer5 Gaming,Regular,16,390,132,235,0.562,63,121,0.521,42,50,0.84,4,14,18,185,18,23,77,4,369,32,0.696,0.718
1600049,LavishPhenom,Blazer5 Gaming,Regular,16,390,53,92,0.576,15,28,0.536,10,10,1,3,6,9,11,46,41,8,4,131,21,0.658,0.679
1600095,Jomar12 PR,Blazer5 Gaming,Regular,7,168,32,56,0.571,15,32,0.469,2,3,0.667,3,15,18,13,18,14,4,5,81,20,0.705,0.707
1600100,King Peroxide,Blazer5 Gaming,Regular,11,270,55,113,0.487,28,67,0.418,5,7,0.714,3,8,11,16,31,14,18,0,143,39,0.611,0.616
1600247,Daveed 3x,Blazer5 Gaming,Regular,14,342,33,61,0.541,14,28,0.5,3,5,0.6,10,41,51,13,23,38,14,13,83,14,0.656,0.657
1600043,Arooks,Bucks Gaming,Regular,16,390,119,221,0.538,74,142,0.521,7,7,1,3,4,7,62,35,30,31,1,319,41,0.706,0.712
1600094,BigMeek,Bucks Gaming,Regular,9,222,66,112,0.589,31,55,0.564,6,6,1,4,22,26,14,4,11,15,3,169,27,0.728,0.737
1600212,chaddynick,Bucks Gaming,Regular,16,390,40,73,0.548,26,52,0.5,4,6,0.667,4,13,17,25,42,23,30,1,110,21,0.726,0.727
1600216,RSG,Bucks Gaming,Regular,7,168,12,14,0.857,1,1,1,3,4,0.75,34,32,66,19,11,6,10,2,28,9,0.893,0.888
1600223,SlayIsland,Bucks Gaming,Regular,16,390,39,72,0.542,11,22,0.5,14,14,1,6,20,26,44,28,21,42,0,103,13,0.618,0.659
1600224,Plondo,Bucks Gaming,Regular,16,390,130,221,0.588,9,28,0.321,24,35,0.686,53,92,145,70,46,36,42,24,293,36,0.609,0.62
1600002,oLarry,Cavs Legion GC,Regular,16,387,68,109,0.624,6,17,0.353,23,31,0.742,38,65,103,56,29,35,36,13,165,24,0.651,0.673
1600045,LYKaPRO,Cavs Legion GC,Regular,6,144,18,44,0.409,8,20,0.4,5,6,0.833,3,1,4,36,5,8,16,0,49,23,0.5,0.525
1600050,Savage,Cavs Legion GC,Regular,10,243,38,64,0.594,10,29,0.345,3,5,0.6,1,8,9,42,7,14,29,0,89,22,0.672,0.672
1600070,Godddof2k,Cavs Legion GC,Regular,16,387,48,79,0.608,11,26,0.423,9,9,1,12,14,26,27,53,57,12,4,116,30,0.677,0.699
1600230,Strainer,Cavs Legion GC,Regular,16,387,103,174,0.592,39,75,0.52,10,13,0.769,1,19,20,66,16,14,44,7,255,42,0.704,0.709
1600031,oFAB,Celtics Crossover Gaming,Regular,15,363,129,224,0.576,42,83,0.506,34,44,0.773,5,13,18,188,24,38,78,0,334,36,0.67,0.686
1600046,Mel East,Celtics Crossover Gaming,Regular,16,387,62,98,0.633,25,48,0.521,14,15,0.933,10,9,19,14,45,41,10,6,163,31,0.76,0.779
1600091,ProFusion,Celtics Crossover Gaming,Regular,16,387,102,172,0.593,53,99,0.535,9,12,0.75,4,16,20,16,38,34,17,3,266,35,0.747,0.75
1600219,NO xAUTOGRAPHSx,Celtics Crossover Gaming,Regular,16,387,68,99,0.687,7,19,0.368,8,11,0.727,83,104,187,45,18,30,30,19,151,15,0.722,0.727
1600232,Bulleyy,Celtics Crossover Gaming,Regular,15,363,53,115,0.461,34,71,0.479,4,6,0.667,4,25,29,13,29,24,26,9,144,15,0.609,0.612
1600237,Suavy,Celtics Crossover Gaming,Regular,2,48,5,9,0.556,3,7,0.429,0,0,0,1,4,5,1,5,5,3,2,13,8,0.722,0.722
1600029,UniversaIPhenom,Grizz Gaming,Regular,7,168,18,38,0.474,4,14,0.286,3,4,0.75,6,25,31,4,9,10,8,4,43,24,0.526,0.541
1600053,AuthenticAfrican,Grizz Gaming,Regular,16,384,107,149,0.718,1,2,0.5,21,31,0.677,77,111,188,55,27,39,31,15,236,84,0.721,0.726
1600061,DDouble,Grizz Gaming,Regular,13,312,59,86,0.686,10,23,0.435,10,10,1,13,5,18,8,24,36,1,1,138,20,0.744,0.763
1600236,Jayrod,Grizz Gaming,Regular,16,384,57,129,0.442,36,84,0.429,5,5,1,8,32,40,29,17,20,20,5,155,15,0.581,0.591
1600249,Vandi,Grizz Gaming,Regular,16,384,108,203,0.532,47,100,0.47,22,27,0.815,7,11,18,134,22,15,74,3,285,28,0.648,0.663
1600028,Dat Boy Shotz,Hawks Talon GC,Regular,12,288,80,154,0.519,15,25,0.6,24,29,0.828,13,23,36,26,25,26,33,4,199,33,0.568,0.597
1600071,XxSTL2LAxX,Hawks Talon GC,Regular,9,216,37,66,0.561,6,12,0.5,2,4,0.5,14,24,38,37,15,10,20,7,82,30,0.606,0.605
1600085,Arsonal,Hawks Talon GC,Regular,15,360,80,122,0.656,2,4,0.5,12,17,0.706,98,91,189,45,32,33,26,11,174,38,0.664,0.672
1600220,Jay a FooL,Hawks Talon GC,Regular,14,336,49,87,0.563,29,55,0.527,2,2,1,4,9,13,10,22,21,15,4,129,24,0.73,0.734
1600231,Rando,Hawks Talon GC,Regular,15,360,82,173,0.474,39,98,0.398,18,25,0.72,0,11,11,61,15,15,56,2,221,27,0.587,0.601
1600015,Hotshot,Heat Check Gaming,Regular,15,360,97,175,0.554,12,32,0.375,19,27,0.704,65,107,172,84,39,36,66,13,225,54,0.589,0.602
